#
# 2021-04-07_REL606_replicate_004_timepoint_003
# ------------------------------
# Acquired: 4/28/2021 10:22:02 PM
# Converted: 04/29/2021 11:04:21 AM
# Vial: 30
# Injection Volume: 20 uL
# Sample ID: 003
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.927999999999999,10.467,11.583,228815,13573,B
2,13.956,12.607999999999999,14.267000000000001,1554818,42091,B
3,14.497,14.267000000000001,15.125,158492,7311,B
4,15.298,15.125,16.175,6297,235,B
5,19.243,18.908,19.775,2359,103,B
6,25.131,24.392,26.308000000000003,315946,10640,B
