#
# 2021-04-07_REL606_replicate_001_timepoint_004
# ------------------------------
# Acquired: 4/28/2021 12:56:22 PM
# Converted: 04/29/2021 11:04:20 AM
# Vial: 4
# Injection Volume: 20 uL
# Sample ID: 004
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.927999999999999,10.467,11.542,228415,13545,B
2,13.953,12.617,14.267000000000001,1544826,41900,B
3,14.49,14.267000000000001,15.183,150453,7167,B
4,25.127,24.366999999999997,26.258000000000003,307548,10370,B
