#
# 2021-04-07_REL606_replicate_001_timepoint_002
# ------------------------------
# Acquired: 4/28/2021 11:35:41 AM
# Converted: 04/29/2021 11:04:20 AM
# Vial: 2
# Injection Volume: 20 uL
# Sample ID: 002
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.925999999999998,10.467,11.567,227189,13466,B
2,13.949000000000002,12.607999999999999,14.267000000000001,1540528,41790,B
3,14.487,14.267000000000001,15.183,148991,7099,B
4,25.124000000000002,24.366999999999997,26.208000000000002,323687,10907,B
