#
# 2021-04-07_REL606_replicate_003_timepoint_004
# ------------------------------
# Acquired: 4/28/2021 7:40:22 PM
# Converted: 04/29/2021 11:04:21 AM
# Vial: 22
# Injection Volume: 20 uL
# Sample ID: 004
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.929,10.467,11.575,228923,13598,B
2,13.957,12.607999999999999,14.267000000000001,1552950,42089,B
3,14.497,14.267000000000001,15.125,158400,7321,B
4,15.292,15.125,16.042,5746,228,B
5,19.238,18.908,19.783,2352,102,B
6,25.133000000000003,24.383000000000003,26.158,306513,10349,B
