#
# 2021-04-07_REL606_replicate_004_timepoint_001
# ------------------------------
# Acquired: 4/28/2021 9:01:19 PM
# Converted: 04/29/2021 11:04:21 AM
# Vial: 28
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.927999999999999,10.442,12.242,245364,13717,B
2,13.953,12.607999999999999,14.267000000000001,1550739,42016,B
3,14.494000000000002,14.267000000000001,15.125,156289,7248,B
4,15.282,15.125,16.008,5251,208,B
5,19.238,18.892,19.717,2330,101,B
6,25.128,24.375,26.225,335855,11320,B
