od_600nm,conc_lower_mM,conc_upper_mM,percentile,level,strain,carbon_source,compound_turnover
0.0855,29.2333443975,31.239377412499994,95,hyperparameter,REL606,acetate,acetate
0.08708080808080809,29.199306241363637,31.204444834090904,95,hyperparameter,REL606,acetate,acetate
0.08866161616161616,29.16153127929293,31.16951225568181,95,hyperparameter,REL606,acetate,acetate
0.09024242424242425,29.125834854848485,31.134559712424235,95,hyperparameter,REL606,acetate,acetate
0.09182323232323233,29.090164623964647,31.099426319797974,95,hyperparameter,REL606,acetate,acetate
0.0934040404040404,29.05426332141414,31.06400296929293,95,hyperparameter,REL606,acetate,acetate
0.09498484848484849,29.01785229136364,31.022466564772728,95,hyperparameter,REL606,acetate,acetate
0.09656565656565658,28.981477375757578,30.980843848484845,95,hyperparameter,REL606,acetate,acetate
0.09814646464646465,28.94530797482323,30.939221132196966,95,hyperparameter,REL606,acetate,acetate
0.09972727272727273,28.909480435454547,30.902464065454545,95,hyperparameter,REL606,acetate,acetate
0.10130808080808082,28.874269768030302,30.86584268606061,95,hyperparameter,REL606,acetate,acetate
0.10288888888888889,28.83865138555555,30.82672442666666,95,hyperparameter,REL606,acetate,acetate
0.10446969696969698,28.80220323901515,30.787003209090905,95,hyperparameter,REL606,acetate,acetate
0.10605050505050506,28.76575509247475,30.74728199151515,95,hyperparameter,REL606,acetate,acetate
0.10763131313131313,28.72932024219697,30.709662754015152,95,hyperparameter,REL606,acetate,acetate
0.10921212121212122,28.691289144242422,30.67466895090909,95,hyperparameter,REL606,acetate,acetate
0.1107929292929293,28.653594928459594,30.639675147803032,95,hyperparameter,REL606,acetate,acetate
0.11237373737373739,28.617011332070703,30.604663093434343,95,hyperparameter,REL606,acetate,acetate
0.11395454545454548,28.579561340454543,30.569507328636362,95,hyperparameter,REL606,acetate,acetate
0.11553535353535355,28.543944216262627,30.531103640202023,95,hyperparameter,REL606,acetate,acetate
0.11711616161616163,28.507600165934342,30.491653799949496,95,hyperparameter,REL606,acetate,acetate
0.11869696969696972,28.47125611560606,30.463421836060608,95,hyperparameter,REL606,acetate,acetate
0.12027777777777779,28.434912065277775,30.42848725416667,95,hyperparameter,REL606,acetate,acetate
0.12185858585858587,28.399506465858583,30.39211468606061,95,hyperparameter,REL606,acetate,acetate
0.12343939393939396,28.361965639242424,30.355742117954545,95,hyperparameter,REL606,acetate,acetate
0.12502020202020203,28.32549270020202,30.319116372070706,95,hyperparameter,REL606,acetate,acetate
0.1266010101010101,28.289044619393938,30.2827798844697,95,hyperparameter,REL606,acetate,acetate
0.1281818181818182,28.250963204545453,30.246486704545454,95,hyperparameter,REL606,acetate,acetate
0.12976262626262627,28.215233378055554,30.210005562272727,95,hyperparameter,REL606,acetate,acetate
0.13134343434343437,28.179771740050505,30.173442751818182,95,hyperparameter,REL606,acetate,acetate
0.13292424242424244,28.143398539621213,30.13687994136364,95,hyperparameter,REL606,acetate,acetate
0.13450505050505052,28.107679912323235,30.099244905454547,95,hyperparameter,REL606,acetate,acetate
0.1360858585858586,28.07334365909091,30.060636497727277,95,hyperparameter,REL606,acetate,acetate
0.1376666666666667,28.0374971,30.027525125,95,hyperparameter,REL606,acetate,acetate
0.13924747474747476,28.002340086363635,29.991347752954546,95,hyperparameter,REL606,acetate,acetate
0.14082828282828286,27.96309120121212,29.954598920909095,95,hyperparameter,REL606,acetate,acetate
0.14240909090909093,27.922412785681818,29.91279606113636,95,hyperparameter,REL606,acetate,acetate
0.143989898989899,27.887087063383838,29.870653243181813,95,hyperparameter,REL606,acetate,acetate
0.14557070707070707,27.8518839115404,29.835176599696965,95,hyperparameter,REL606,acetate,acetate
0.14715151515151517,27.815036163636364,29.801592004848484,95,hyperparameter,REL606,acetate,acetate
0.14873232323232327,27.77545381363636,29.76799128861111,95,hyperparameter,REL606,acetate,acetate
0.15031313131313134,27.737355797474745,29.734700135050502,95,hyperparameter,REL606,acetate,acetate
0.15189393939393941,27.700293276515147,29.696727941287875,95,hyperparameter,REL606,acetate,acetate
0.15347474747474749,27.66517649252525,29.658031284949494,95,hyperparameter,REL606,acetate,acetate
0.15505555555555556,27.630706164444444,29.619334628611107,95,hyperparameter,REL606,acetate,acetate
0.15663636363636366,27.59099185409091,29.58054083136363,95,hyperparameter,REL606,acetate,acetate
0.15821717171717176,27.55448719381313,29.5426283904798,95,hyperparameter,REL606,acetate,acetate
0.15979797979797983,27.521283308080807,29.50725124141414,95,hyperparameter,REL606,acetate,acetate
0.1613787878787879,27.487287831969695,29.47190166568182,95,hyperparameter,REL606,acetate,acetate
0.16295959595959597,27.44880610060606,29.436688667727275,95,hyperparameter,REL606,acetate,acetate
0.16454040404040404,27.40781209737374,29.400294043737375,95,hyperparameter,REL606,acetate,acetate
0.16612121212121214,27.372485462121208,29.36082528121212,95,hyperparameter,REL606,acetate,acetate
0.16770202020202024,27.338312541035354,29.32338969141414,95,hyperparameter,REL606,acetate,acetate
0.1692828282828283,27.301110847222223,29.288040577979796,95,hyperparameter,REL606,acetate,acetate
0.17086363636363638,27.260449989772727,29.25269146454545,95,hyperparameter,REL606,acetate,acetate
0.17244444444444446,27.219654893333335,29.217424684444442,95,hyperparameter,REL606,acetate,acetate
0.17402525252525253,27.18349433530303,29.183919237702018,95,hyperparameter,REL606,acetate,acetate
0.17560606060606063,27.149669222727272,29.15032837651515,95,hyperparameter,REL606,acetate,acetate
0.17718686868686873,27.116425952525255,29.11369182318182,95,hyperparameter,REL606,acetate,acetate
0.1787676767676768,27.07757632929293,29.075878150909087,95,hyperparameter,REL606,acetate,acetate
0.18034848484848487,27.038923313787876,29.040319772878785,95,hyperparameter,REL606,acetate,acetate
0.18192929292929294,27.003941415050505,29.0049107310101,95,hyperparameter,REL606,acetate,acetate
0.18351010101010104,26.965359350252523,28.968507629419193,95,hyperparameter,REL606,acetate,acetate
0.1850909090909091,26.927156338181817,28.92817552909091,95,hyperparameter,REL606,acetate,acetate
0.1866717171717172,26.892209989040403,28.89596397371212,95,hyperparameter,REL606,acetate,acetate
0.18825252525252528,26.85594175863636,28.85486301308081,95,hyperparameter,REL606,acetate,acetate
0.18983333333333335,26.81861888833333,28.819133644166666,95,hyperparameter,REL606,acetate,acetate
0.19141414141414143,26.77447587373737,28.783404275252526,95,hyperparameter,REL606,acetate,acetate
0.19299494949494952,26.735086599065657,28.751865294873735,95,hyperparameter,REL606,acetate,acetate
0.1945757575757576,26.69843928651515,28.715641543333334,95,hyperparameter,REL606,acetate,acetate
0.1961565656565657,26.661791973964647,28.679247120555555,95,hyperparameter,REL606,acetate,acetate
0.19773737373737377,26.62437243232323,28.646645550707067,95,hyperparameter,REL606,acetate,acetate
0.19931818181818184,26.584650714772728,28.615909485227274,95,hyperparameter,REL606,acetate,acetate
0.2008989898989899,26.545109687020204,28.58079161515151,95,hyperparameter,REL606,acetate,acetate
0.202479797979798,26.512918791994945,28.545688583358583,95,hyperparameter,REL606,acetate,acetate
0.2040606060606061,26.479043847272727,28.510360082424242,95,hyperparameter,REL606,acetate,acetate
