elapsed_time_hr,level,percentile,od_600nm_lower,od_600nm_upper,strain,carbon_source,medium_base
0.0,hyperparameter,95,0.0340332875,0.04927762750000012,REL606,acetate,DM
0.03777219430485761,hyperparameter,95,0.034318404797157295,0.049699158962430844,REL606,acetate,DM
0.07554438860971523,hyperparameter,95,0.0346059107348061,0.05012429631311963,REL606,acetate,DM
0.11331658291457283,hyperparameter,95,0.03489582532472864,0.05055335567621677,REL606,acetate,DM
0.15108877721943045,hyperparameter,95,0.03519381931055334,0.050989253149956185,REL606,acetate,DM
0.18886097152428807,hyperparameter,95,0.03549645885046126,0.051428763597665524,REL606,acetate,DM
0.22663316582914567,hyperparameter,95,0.03580566930614444,0.05187206249876033,REL606,acetate,DM
0.2644053601340033,hyperparameter,95,0.036117971401683074,0.052319004248880044,REL606,acetate,DM
0.3021775544388609,hyperparameter,95,0.03643299745473598,0.052769417414560045,REL606,acetate,DM
0.3399497487437185,hyperparameter,95,0.03675077122429768,0.053223708565035076,REL606,acetate,DM
0.37772194304857615,hyperparameter,95,0.03707131667659525,0.05368214595103769,REL606,acetate,DM
0.41549413735343377,hyperparameter,95,0.037394657986895924,0.054145161430241985,REL606,acetate,DM
0.45326633165829133,hyperparameter,95,0.0377208195413304,0.05461217048971002,REL606,acetate,DM
0.49103852596314895,hyperparameter,95,0.03804982593873202,0.05508320757479187,REL606,acetate,DM
0.5288107202680066,hyperparameter,95,0.03838170199249208,0.05555807317482591,REL606,acetate,DM
0.5665829145728642,hyperparameter,95,0.03871647273243125,0.05603698563276378,REL606,acetate,DM
0.6043551088777218,hyperparameter,95,0.0390514123289101,0.05652068335735305,REL606,acetate,DM
0.6421273031825794,hyperparameter,95,0.03938736333520592,0.05700793223841664,REL606,acetate,DM
0.679899497487437,hyperparameter,95,0.03972620445670385,0.057499321978694784,REL606,acetate,DM
0.7176716917922946,hyperparameter,95,0.040067960556451954,0.057994947359249135,REL606,acetate,DM
0.7554438860971523,hyperparameter,95,0.04041265671138981,0.05849484489027979,REL606,acetate,DM
0.7932160804020099,hyperparameter,95,0.04076031821418863,0.0589931673604651,REL606,acetate,DM
0.8309882747068675,hyperparameter,95,0.04111097057510705,0.05949472408325034,REL606,acetate,DM
0.8687604690117251,hyperparameter,95,0.041464639523863124,0.06000016690337973,REL606,acetate,DM
0.9065326633165827,hyperparameter,95,0.04182135101152218,0.060510437914260674,REL606,acetate,DM
