conc_range_mM,rel_area_lower,rel_area_upper,percentile,strain,carbon_source,compound_turnover
0.0,-0.0050023055,0.0033324639999999933,95,REL606,acetate,acetate
0.30303030303030304,-0.0027287105909090904,0.005496715060606049,95,REL606,acetate,acetate
0.6060606060606061,-0.00046611006060605993,0.007685197696969691,95,REL606,acetate,acetate
0.9090909090909092,0.0018323101818181829,0.0098236629090909,95,REL606,acetate,acetate
1.2121212121212122,0.00411682156060606,0.012009340560606062,95,REL606,acetate,acetate
1.5151515151515151,0.006387674651515151,0.014183759621212119,95,REL606,acetate,acetate
1.8181818181818183,0.008669877045454546,0.016382064954545455,95,REL606,acetate,acetate
2.121212121212121,0.010930887772727273,0.018574807818181816,95,REL606,acetate,acetate
2.4242424242424243,0.013201650954545455,0.02076606893939394,95,REL606,acetate,acetate
2.7272727272727275,0.015484394636363641,0.022947998181818183,95,REL606,acetate,acetate
3.0303030303030303,0.01774764216666667,0.02514943121212121,95,REL606,acetate,acetate
3.3333333333333335,0.020022554166666665,0.027330724166666664,95,REL606,acetate,acetate
3.6363636363636367,0.022290081727272728,0.029512938727272727,95,REL606,acetate,acetate
3.9393939393939394,0.02455659727272727,0.031665676212121206,95,REL606,acetate,acetate
4.242424242424242,0.02682486675757576,0.0338424744242424,95,REL606,acetate,acetate
4.545454545454546,0.02908899954545455,0.036067736318181824,95,REL606,acetate,acetate
4.848484848484849,0.031348826575757584,0.03823821922727272,95,REL606,acetate,acetate
5.151515151515151,0.03362254328787879,0.04043826715151515,95,REL606,acetate,acetate
5.454545454545455,0.03589476227272728,0.04263575659090909,95,REL606,acetate,acetate
5.757575757575758,0.03815914231818182,0.0448149393030303,95,REL606,acetate,acetate
6.0606060606060606,0.04042396137878787,0.04699678222727273,95,REL606,acetate,acetate
6.363636363636364,0.04269034563636364,0.049182173227272724,95,REL606,acetate,acetate
6.666666666666667,0.04493962866666667,0.05136032966666667,95,REL606,acetate,acetate
6.96969696969697,0.047169002,0.05353268353030302,95,REL606,acetate,acetate
7.272727272727273,0.04941329781818182,0.05572379713636364,95,REL606,acetate,acetate
7.575757575757576,0.0516498155909091,0.057906800348484846,95,REL606,acetate,acetate
7.878787878787879,0.05390029898484849,0.06011782543939394,95,REL606,acetate,acetate
8.181818181818182,0.05613975486363637,0.06229559890909091,95,REL606,acetate,acetate
8.484848484848484,0.05837176916666667,0.06447889216666668,95,REL606,acetate,acetate
8.787878787878789,0.060619247651515155,0.06669654534848485,95,REL606,acetate,acetate
9.090909090909092,0.06285663961363637,0.06888710015454545,95,REL606,acetate,acetate
9.393939393939394,0.06506357715757576,0.07106580172727273,95,REL606,acetate,acetate
9.696969696969697,0.0672998414848485,0.07328028481818182,95,REL606,acetate,acetate
10.0,0.06950449800000001,0.075497837,95,REL606,acetate,acetate
10.303030303030303,0.07170457440909091,0.07774236768181818,95,REL606,acetate,acetate
10.606060606060606,0.07393081093939394,0.08000057793181818,95,REL606,acetate,acetate
10.90909090909091,0.07617084972727274,0.08225837706818181,95,REL606,acetate,acetate
11.212121212121213,0.07839765227272728,0.08451620342424243,95,REL606,acetate,acetate
11.515151515151516,0.08058732479393939,0.0867563875909091,95,REL606,acetate,acetate
11.818181818181818,0.08280648981818181,0.0889944566590909,95,REL606,acetate,acetate
