cred_int,map_val,parameter,replicate
0.010832395574099998,0.22142948425401518,growth_rate,1
0.002879586085650792,0.04728046457368258,od_init,1
0.001605664253033543,0.004150556977625741,sigma,1
0.010535898234756832,0.2233128299668341,growth_rate,2
0.0021502238104974575,0.03632679286247765,od_init,2
0.0011867824976259573,0.0030817177842355054,sigma,2
0.007190586741493581,0.2317926002713597,growth_rate,3
0.0018256520697281888,0.04481853673133708,od_init,3
0.001038784751215072,0.0027017607357018017,sigma,3
0.006107487273701849,0.23342267381809198,growth_rate,4
0.0014163073409694286,0.04097796752150809,od_init,4
0.0008087641216835749,0.002091074233273594,sigma,4
