peak_idx,retention_time,arrival_time,departure_time,area,height,detector,replicate,time_idx,compound,od_600nm,rel_area_phosphate,strain,carbon_source,medium_base,date
4,15.293,15.125,16.05,5596,219,B,3,2,glucose,0.155,0.003604102597130758,REL606,acetate,DM,2021-04-27
6,25.131999999999998,24.38300000000001,26.275,324610,10951,B,3,2,acetate,0.155,0.209065000724556,REL606,acetate,DM,2021-04-27
1,10.927,10.467,11.567,228364,13590,B,3,3,NaCl,0.199,0.14723462802889192,REL606,acetate,DM,2021-04-27
2,13.954,12.607999999999999,14.267000000000001,1551021,42045,B,3,3,phosphate,0.199,1.0,REL606,acetate,DM,2021-04-27
4,15.288,15.125,16.133,6027,232,B,3,3,glucose,0.199,0.0038858274646184675,REL606,acetate,DM,2021-04-27
6,25.13,24.375,26.267,311658,10514,B,3,3,acetate,0.199,0.2009373180633918,REL606,acetate,DM,2021-04-27
1,10.929,10.467,11.575,228923,13598,B,3,4,NaCl,0.22,0.14741170031230882,REL606,acetate,DM,2021-04-27
2,13.957,12.607999999999999,14.267000000000001,1552950,42089,B,3,4,phosphate,0.22,1.0,REL606,acetate,DM,2021-04-27
4,15.292,15.125,16.042,5746,228,B,3,4,glucose,0.22,0.0037000547345374933,REL606,acetate,DM,2021-04-27
6,25.13300000000001,24.38300000000001,26.158,306513,10349,B,3,4,acetate,0.22,0.19737467400753406,REL606,acetate,DM,2021-04-27
1,10.927999999999999,10.442,12.242,245364,13717,B,4,1,NaCl,0.102,0.15822391775792058,REL606,acetate,DM,2021-04-27
2,13.953,12.607999999999999,14.267000000000001,1550739,42016,B,4,1,phosphate,0.102,1.0,REL606,acetate,DM,2021-04-27
4,15.282,15.125,16.008,5251,208,B,4,1,glucose,0.102,0.003386127517267574,REL606,acetate,DM,2021-04-27
6,25.128,24.375,26.225,335855,11320,B,4,1,acetate,0.102,0.2165773866524283,REL606,acetate,DM,2021-04-27
1,10.925,10.458,11.567,228481,13561,B,4,2,NaCl,0.161,0.1470897624737341,REL606,acetate,DM,2021-04-27
2,13.952,12.607999999999999,14.267000000000001,1553344,42058,B,4,2,phosphate,0.161,1.0,REL606,acetate,DM,2021-04-27
4,15.284,15.125,16.175,6195,233,B,4,2,glucose,0.161,0.003988170038317334,REL606,acetate,DM,2021-04-27
6,25.128,24.38300000000001,26.241999999999997,321469,10833,B,4,2,acetate,0.161,0.2069528707099007,REL606,acetate,DM,2021-04-27
1,10.927999999999999,10.467,11.583,228815,13573,B,4,3,NaCl,0.185,0.14716513444017243,REL606,acetate,DM,2021-04-27
2,13.956,12.607999999999999,14.267000000000001,1554818,42091,B,4,3,phosphate,0.185,1.0,REL606,acetate,DM,2021-04-27
4,15.298,15.125,16.175,6297,235,B,4,3,glucose,0.185,0.004049991703208993,REL606,acetate,DM,2021-04-27
6,25.131,24.392,26.308000000000003,315946,10640,B,4,3,acetate,0.185,0.20320449081500214,REL606,acetate,DM,2021-04-27
1,10.927999999999999,10.467,11.567,228698,13572,B,4,4,NaCl,0.205,0.14715291683181567,REL606,acetate,DM,2021-04-27
2,13.956,12.607999999999999,14.267000000000001,1554152,42079,B,4,4,phosphate,0.205,1.0,REL606,acetate,DM,2021-04-27
4,15.302,15.117,16.05,5938,231,B,4,4,glucose,0.205,0.003820733107186427,REL606,acetate,DM,2021-04-27
6,25.13300000000001,24.392,26.275,311287,10486,B,4,4,acetate,0.205,0.20029379365724845,REL606,acetate,DM,2021-04-27
